title,subtitle,authors,link,code_link,date,purpose,principles_tested,functional_props,input_modality,output_modality,input_source,output_source,size,splits,design,judge,protocol,model_access,has_heldout,heldout_details,alignment_validation,is_valid,baseline_models,robustness_measures,known_limitations,benchmarks_list
Waymo Open Dataset,"A large-scale autonomous driving dataset with 1000 diverse driving scenes, 12M LiDAR points per frame, high-resolution camera images, and rich 3D annotations.",Waymo LLC,https://arxiv.org/abs/1912.04838,https://github.com/waymo-research/waymo-open-dataset,2019-08-21,Research; Development; Deployment,"3D object detection, 2D object detection, Tracking, Domain adaptation, Sensor fusion",Core Performance; Robustness,Vision (Image); Video; Structured Data,Structured Data,New dataset (released with eval),Human annotations; Programmatically generated,Huge (> 10M samples),"Train (798), Val (202), Test (150)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives multimodal sensor data 2. Model predicts 3D bounding boxes with tracking IDs 3. AP/APH metrics at different IoU thresholds and difficulty levels,Outputs,True,"Test set labels private, evaluation via online leaderboard","Multi-stage annotation pipeline with quality checks, temporal consistency validation",unknown,PointPillars: 63.8 L2 APH (Vehicle) CenterPoint: 73.9 L2 APH PV-RCNN++: 77.8 L2 APH,Geographic diversity; Time of day variations; Weather conditions; Multiple difficulty levels,Geographic concentration in specific cities; Sensor-specific challenges; Annotation latency for distant objects; Class imbalance,"nuScenes, KITTI, Argoverse 2, Once, Lyft Level 5"
Fashion-MNIST,"A drop-in replacement for MNIST with 70K grayscale images of fashion products across 10 categories, designed to be a more challenging benchmark for image classification.",Zalando Research,https://arxiv.org/abs/1708.07747,https://github.com/zalandoresearch/fashion-mnist,2017-08-25,Research; Development; Selection,"Image classification, Transfer learning, Benchmark comparison",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (60K), Test (10K)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives 28x28 grayscale image 2. Model predicts fashion category (10 classes) 3. Classification accuracy computed,Outputs,False,,Product catalog labels verified by domain experts,unknown,Linear Classifier: 83.7% CNN: 93.5% ResNet: 94.9% Vision Transformer: 95.1%,Multiple runs per sample; Seed variation tested,Low resolution (28x28); Grayscale only; Limited intra-class variation; Some categories overlap visually,"MNIST, EMNIST, Kuzushiji-MNIST, DeepFashion"
MMLU (Massive Multitask Language Understanding),"A comprehensive benchmark with 57 tasks spanning STEM, humanities, social sciences, and more, designed to measure multitask accuracy and knowledge breadth in language models.","UC Berkeley, Columbia University",https://arxiv.org/abs/2009.03300,https://github.com/hendrycks/test,2020-09-07,Research; Development; Selection,"World knowledge, Reasoning, Domain expertise across 57 subjects",Core Performance,Text,Text,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"Dev (5 shot examples per task), Test (285 questions per task average)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives multiple choice question with 4 options 2. Model predicts answer (A/B/C/D) 3. Accuracy computed per subject and overall,Outputs,False,,"Questions sourced from practice exams and tests, expert review for correctness",unknown,GPT-3 (175B): 43.9% GPT-3.5: 70.0% GPT-4: 86.4% Claude 3.5 Sonnet: 88.7% Random baseline: 25%,Multiple evaluation runs; Few-shot prompting variations; Subject-wise analysis,Multiple choice format may not reflect real-world usage; Some questions have ambiguous answers; Dataset contamination concerns with web-trained models; Cultural and knowledge cutoff biases,"MMLU-Pro, AGIEval, C-Eval, CMMLU"
HumanEval,A code generation benchmark with 164 hand-written programming problems to evaluate functional correctness of synthesized Python code.,OpenAI,https://arxiv.org/abs/2107.03374,https://github.com/openai/human-eval,2021-07-07,Research; Development; Selection,"Code generation, Programming ability, Functional correctness, Code understanding",Core Performance,Text; Code,Code,New dataset (released with eval),Author-provided,Small (< 1K samples),Test (164 problems),Fixed data-driven (static test set),Automatic (Execution-based),1. Model receives function signature and docstring 2. Model generates function implementation 3. Generated code executed against unit tests 4. pass@k metric computed (% passing all tests in k samples),Outputs,False,,"Hand-written problems with comprehensive unit tests, manual verification of test correctness",unknown,Codex (12B): 28.8% pass@1 GPT-3.5-turbo: 48.1% pass@1 GPT-4: 67.0% pass@1 Claude 3.5 Sonnet: 92.0% pass@1,Multiple samples per problem (pass@k); Temperature sensitivity tested; Execution-based verification,Limited to Python; Small dataset size (164 problems); Relatively simple problems; May be contaminated in training data; No testing of code efficiency or style,"MBPP, APPS, CodeContests, HumanEval+, MultiPL-E"
HellaSwag,"A benchmark for commonsense natural language inference about physical situations, requiring models to complete scenarios with the most plausible continuation.","University of Washington, Allen Institute for AI",https://arxiv.org/abs/1905.07830,https://github.com/rowanz/hellaswag,2019-05-19,Research; Development,"Commonsense reasoning, Physical understanding, Situation modeling, Plausibility judgment",Core Performance; Robustness,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (39,905), Val (10,042), Test (10,003)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives scenario context 2. Model selects most plausible continuation from 4 options 3. Accuracy computed,Outputs,False,,"Adversarial filtering using BERT to ensure difficulty, human validation of plausibility",unknown,BERT-Large: 47.3% GPT-2: 50.9% GPT-3: 78.9% GPT-4: 95.3% Human performance: 95.6%,Adversarial filtering; Multiple runs per sample; Human baseline comparison,Dataset may be easier than originally intended for modern LLMs; Multiple choice format; Adversarial examples may have artifacts; Potential data contamination,"PIQA, WinoGrande, CommonsenseQA, ARC"
GSM8K (Grade School Math 8K),"A dataset of 8,500 grade school math word problems requiring multi-step arithmetic reasoning to solve.",OpenAI,https://arxiv.org/abs/2110.14168,https://github.com/openai/grade-school-math,2021-10-27,Research; Development,"Mathematical reasoning, Multi-step problem solving, Arithmetic reasoning, Chain-of-thought reasoning",Core Performance,Text,Text,New dataset (released with eval),Author-provided,Medium (1K - 100K samples),"Train (7,473), Test (1,319)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives math word problem 2. Model generates solution with reasoning steps 3. Final numerical answer extracted and compared to ground truth,Outputs,False,,"Human-written problems with verified solutions, consistency checks for answer correctness",unknown,GPT-3 (175B): 34.2% GPT-3.5: 57.1% GPT-4: 92.0% GPT-4o: 96.1% Claude 3.5 Sonnet: 96.4%,Multiple runs per sample; Chain-of-thought prompting tested; Answer extraction robustness,Limited to grade-school level math; Answer extraction can be brittle; Some problems have ambiguous wording; Potential contamination in training data,"MATH, GSM-Hard, SVAMP, ASDiv, MathQA"
TruthfulQA,A benchmark measuring whether language models generate truthful answers to questions that humans might answer falsely due to misconceptions or false beliefs.,"Oxford University, OpenAI",https://arxiv.org/abs/2109.07958,https://github.com/sylinrl/TruthfulQA,2021-09-16,Research; Development; Safety,"Truthfulness, Factual accuracy, Resistance to misconceptions, Calibration",Safety; Core Performance; Calibration,Text,Text,New dataset (released with eval),Expert annotations,Small (< 1K samples),Test (817 questions across 38 categories),Fixed data-driven (static test set),Model-based: Expert; Human: Experts,1. Model receives question designed to elicit false beliefs 2. Model generates answer 3. Answers judged for truthfulness and informativeness using GPT-judge or human evaluation,Outputs,False,,"Expert-curated questions targeting known misconceptions, multi-rater validation of truth labels",unknown,GPT-3 (175B): 58.0% GPT-3.5: 47.0% GPT-4: 59.0% Claude 2: 62.0% Human baseline: 94.0%,"Multiple evaluation methods (MC1, MC2, generative); Human validation; Model-based evaluation correlation",Subjective truthfulness judgments in some cases; Cultural bias in what constitutes 'truth'; Model-based evaluation may not align with human judgment; Limited coverage of misconceptions,"FactScore, HaluEval, SelfCheckGPT, FELM"
BIG-bench (Beyond the Imitation Game),"A collaborative benchmark with 204 tasks spanning linguistics, child development, math, commonsense reasoning, biology, physics, social bias, and software development.","Google Research, 450+ authors",https://arxiv.org/abs/2206.04615,https://github.com/google/BIG-bench,2022-06-09,Research; Development,"Diverse capabilities across 204 tasks including reasoning, knowledge, language understanding, bias detection",Core Performance; Fairness; Robustness,Text,Text,New dataset (released with eval),Multiple/Mixed sources,Large (100K - 1M samples),Varies by task,Composite,Automatic (Reference-based); Model-based: In the wild,1. Model evaluated on 204 diverse tasks 2. Each task has its own evaluation protocol 3. Performance aggregated across tasks,Outputs,False,,"Crowdsourced task creation with quality review, diverse authorship for broad coverage",unknown,Average human rater: 89.0% Few-shot PaLM (540B): 65.7% GPT-4: ~83% (estimated on BIG-Bench Hard),Multiple tasks provide robustness; Human baseline comparison; Cross-task analysis,Task quality varies; Some tasks too easy or too hard; Computational cost of running all 204 tasks; Aggregation methodology debatable,"BIG-Bench Hard, MMLU, HELM, SuperGLUE"
MATH,"A dataset of 12,500 challenging competition mathematics problems from high school math competitions, requiring advanced mathematical reasoning and problem-solving.","UC Berkeley, OpenAI",https://arxiv.org/abs/2103.03874,https://github.com/hendrycks/math,2021-03-05,Research; Development,"Advanced mathematical reasoning, Problem solving, Multi-step reasoning, Mathematical knowledge",Core Performance,Text,Text,New dataset (released with eval),Published references,Medium (1K - 100K samples),"Train (7,500), Test (5,000)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives competition math problem 2. Model generates solution with steps 3. Final answer extracted and checked against ground truth 4. Problems span 7 subjects with 5 difficulty levels,Outputs,False,,"Problems from real math competitions with verified solutions, difficulty levels validated",unknown,GPT-3: 6.9% GPT-4: 42.5% Minerva (540B): 33.6% GPT-4 Turbo: 52.9% Claude 3.5 Sonnet: 71.1%,Multiple difficulty levels; Subject-wise analysis; Chain-of-thought evaluation,Answer extraction challenges; LaTeX formatting issues; Symbolic vs numeric answers; High difficulty may not reflect practical math usage,"GSM8K, MathQA, SVAMP, ASDiv, Hendrycks MATH"
ARC (AI2 Reasoning Challenge),"A dataset of 7,787 science exam questions from grade 3-9, designed to require reasoning beyond simple retrieval or pattern matching.",Allen Institute for AI,https://arxiv.org/abs/1803.05457,https://github.com/allenai/arc,2018-03-14,Research; Development,"Scientific reasoning, Commonsense reasoning, Knowledge retrieval, Multi-hop reasoning",Core Performance; Robustness,Text,Text,New dataset (released with eval),Existing dataset labels,Medium (1K - 100K samples),"Easy (2,376 train, 570 test), Challenge (1,119 train, 1,172 test)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives science exam question with multiple choice options 2. Model selects answer 3. Accuracy computed separately for Easy and Challenge sets,Outputs,False,,"Real exam questions filtered to require reasoning, partitioned by difficulty using retrieval-based baseline",unknown,ARC-Challenge: BERT: 59.1% GPT-3: 51.4% GPT-3.5: 85.2% GPT-4: 96.3%,Two difficulty levels; Multiple choice format variations; Retrieval baseline comparison,Multiple choice format; Some questions solvable without reasoning; Challenge set becoming saturated; Grade-school level may not test advanced reasoning,"OpenBookQA, CommonsenseQA, QASC, SciQ"
DROP (Discrete Reasoning Over Paragraphs),"A reading comprehension benchmark requiring discrete reasoning operations over paragraph content, including sorting, counting, and arithmetic.","Allen Institute for AI, University of Washington",https://arxiv.org/abs/1903.00161,https://github.com/allenai/drop,2019-03-01,Research; Development,"Reading comprehension, Numerical reasoning, Discrete operations, Multi-hop reasoning",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Large (100K - 1M samples),"Train (77,409), Dev (9,536), Test (9,622)",Fixed data-driven (static test set),Automatic (Reference-based),"1. Model receives paragraph and question 2. Model generates answer (number, span, or date) 3. F1 and Exact Match metrics computed",Outputs,False,,"Crowdsourced questions with verification, requires discrete reasoning operations confirmed through analysis",unknown,BERT: 47.0 F1 RoBERTa: 80.9 F1 GPT-3: 29.0 F1 GPT-4: 80.9 F1 Human performance: 96.4 F1,Multiple answer types; Question type analysis; Human baseline comparison,Requires careful answer extraction; Some questions ambiguous; Numerical reasoning can be brittle; Limited diversity in reasoning types,"SQuAD, NewsQA, NaturalQuestions, NumGLUE, TAT-QA"
WinoGrande,"A large-scale commonsense reasoning benchmark with 44,000 problems requiring resolving pronoun ambiguity through world knowledge and commonsense.","Allen Institute for AI, University of Washington",https://arxiv.org/abs/1907.10641,https://github.com/allenai/winogrande,2019-07-24,Research; Development,"Commonsense reasoning, Coreference resolution, World knowledge, Causal reasoning",Core Performance; Robustness,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (40,398), Dev (1,267), Test (1,767)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives sentence with pronoun ambiguity 2. Model selects correct referent from 2 options 3. Accuracy computed,Outputs,False,,"Adversarial filtering using language models, crowdsourced generation with validation",unknown,BERT-Large: 59.4% RoBERTa-Large: 79.1% GPT-3: 70.2% GPT-4: 87.5% Human performance: 94.0%,Adversarial filtering; Large-scale dataset; Multiple difficulty levels,Binary choice may be limiting; Adversarial filtering may introduce artifacts; Saturation with modern models; Limited reasoning depth,"Winograd Schema Challenge, COPA, CommonsenseQA, PIQA"
BBH (BIG-Bench Hard),"A curated subset of 23 challenging tasks from BIG-Bench where language models perform below human raters, focusing on tasks requiring multi-step reasoning.",Google Research,https://arxiv.org/abs/2210.09261,https://github.com/suzgunmirac/BIG-Bench-Hard,2022-10-17,Research; Development,"Complex reasoning, Multi-step thinking, Challenging cognitive tasks, Chain-of-thought reasoning",Core Performance,Text,Text,One or Multiple existing datasets,Multiple/Mixed sources,Medium (1K - 100K samples),"Test (6,511 examples across 23 tasks)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives task from one of 23 challenging categories 2. Model generates answer 3. Performance aggregated across all tasks 4. Chain-of-thought prompting typically used,Outputs,False,,"Tasks selected where models underperform humans, difficulty validated through empirical testing",unknown,PaLM (540B): 56.5% average PaLM (540B) + CoT: 78.1% GPT-4: ~91% Human raters: ~92% average,Multiple tasks; Chain-of-thought evaluation; Human baseline comparison; Cross-model validation,Only 23 tasks (limited coverage); Chain-of-thought prompting required for good performance; Task aggregation methodology; Rapidly saturating with newer models,"BIG-Bench, MMLU, AGIEval, HELM"
MT-Bench,"A multi-turn conversational benchmark with 80 high-quality multi-turn questions spanning 8 categories, evaluated using GPT-4 as a judge.","UC Berkeley, UCSD, CMU, MBZUAI",https://arxiv.org/abs/2306.05685,https://github.com/lm-sys/FastChat,2023-06-09,Development; Selection,"Multi-turn conversation, Instruction following, Reasoning, Writing, Role-playing, Knowledge",Core Performance; Core Quality Dimensions,Text,Text,New dataset (released with eval),Author-provided,Small (< 1K samples),Test (80 questions with 2 turns each),Fixed data-driven (static test set),Model-based: In the wild,1. Model engages in 2-turn conversation 2. GPT-4 evaluates responses on 10-point scale 3. Scores averaged across turns and categories,Outputs,False,,"Strong correlation with human preferences validated on Chatbot Arena data, GPT-4 judge agreement measured",unknown,Vicuna-13B: 6.39 GPT-3.5-turbo: 7.94 Claude 2: 8.06 GPT-4: 8.99 GPT-4-turbo: 9.32,Multiple categories; Position bias mitigation; Agreement with human ratings validated; Pairwise comparison,Small dataset (80 questions); GPT-4 judge may have biases; Evaluation cost; Model-based judge limitations; Prompt sensitivity,"Chatbot Arena, AlpacaEval, Arena-Hard, LiveBench"
GPQA (Google-Proof Q&A),"A challenging multiple-choice benchmark of 448 expert-level questions in biology, physics, and chemistry designed to be difficult even for skilled non-experts with internet access.",New York University,https://arxiv.org/abs/2311.12022,https://github.com/idavidrein/gpqa,2023-11-20,Research; Development,"Expert-level knowledge, Scientific reasoning, Domain expertise, Graduate-level understanding",Core Performance; Robustness,Text,Text,New dataset (released with eval),Expert annotations,Small (< 1K samples),"Main (198), Extended (246), Diamond (198 highest quality)",Fixed data-driven (static test set),Automatic (Reference-based),1. Model receives graduate-level science question 2. Model selects from 4 multiple choice options 3. Accuracy computed 4. Questions validated to be difficult for non-experts with Google access,Outputs,False,,"PhD-level experts write and validate questions, non-expert validators with Google access achieve <35% accuracy",unknown,Random: 25% Non-expert w/ Google: 34% Expert: 81% GPT-4: 39% Claude 3 Opus: 59.4% GPT-4o: 53.6%,Expert validation; Non-expert baseline; Multiple subject areas; Quality tiers (Diamond subset),Small dataset size; Limited to 3 scientific domains; Multiple choice format; High cost of expert question creation; Cultural bias toward Western scientific education,"MMLU-Pro, JEE-Advanced, SciBench, LiveBench"
IFEval (Instruction-Following Eval),"A benchmark of 541 prompts with verifiable instructions testing models' ability to follow precise formatting, length, and structural constraints.",Google DeepMind,https://arxiv.org/abs/2311.07911,https://github.com/google-research/google-research/tree/master/instruction_following_eval,2023-11-13,Research; Development; Selection,"Instruction following, Constraint satisfaction, Format compliance, Precise control",Core Performance; Robustness,Text,Text,New dataset (released with eval),Programmatically generated,Small (< 1K samples),Test (541 prompts with ~25 verifiable instructions),Fixed data-driven (static test set),Automatic (Reference-free),"1. Model receives prompt with verifiable instructions (e.g., 'respond in exactly 3 paragraphs', 'include word X at least 5 times') 2. Model generates response 3. Programmatic checks verify instruction compliance 4. Strict and loose accuracy metrics computed",Outputs,False,,"Verifiable instructions with programmatic checking, no ambiguity in correctness",unknown,GPT-3.5: 57.4% strict GPT-4: 76.9% strict Claude 2: 66.7% strict Gemini Ultra: 79.4% strict,Strict and loose metrics; Multiple instruction types; Programmatic verification; No human evaluation needed,Limited to verifiable instructions only; May not reflect realistic usage; Some instructions may be conflicting; Excludes semantic quality assessment,"MT-Bench, AlpacaEval, InstructGPT evals, FollowBench"
RULER (Long Context Evaluation),A synthetic benchmark for evaluating long-context language models with tasks requiring retrieval and reasoning over contexts up to 128K tokens.,NVIDIA,https://arxiv.org/abs/2404.06654,https://github.com/hsiehjackson/RULER,2024-04-10,Research; Development,"Long-context understanding, Needle-in-haystack retrieval, Multi-hop reasoning, Variable tracking",Core Performance; Robustness,Text,Text,Synthetic/Generated,Programmatically generated,Medium (1K - 100K samples),Test (configurable context lengths: 4K to 128K+),Fixed data-driven (static test set),Automatic (Reference-based),"1. Model receives long context (4K-128K tokens) with embedded tasks 2. Tasks include retrieval, multi-hop tracing, aggregation, QA 3. Accuracy computed at different context lengths and depths",Outputs,False,,"Synthetic generation with known ground truth, controlled difficulty levels",unknown,"GPT-4 Turbo (128K): ~90% at 64K, degrades beyond Claude 2.1 (200K): ~85% at 100K Gemini 1.5 Pro: >90% up to 128K",Multiple context lengths tested; Position-dependent analysis; Task type variations; Controlled synthetic generation,Synthetic tasks may not reflect real-world usage; Limited task diversity; Computational cost for long contexts; Does not test semantic understanding deeply,"Needle-in-Haystack, ZeroSCROLLS, L-Eval, LongBench, InfiniteBench"
SQuAD (Stanford Question Answering Dataset),"A reading comprehension dataset with 100K+ questions posed by crowdworkers on Wikipedia articles, where answers are text spans from the passage.",Stanford University,https://arxiv.org/abs/1606.05250,https://github.com/rajpurkar/SQuAD-explorer,2016-06-16,Research; Development,"Reading comprehension, Span extraction, Question answering, Natural language understanding",Core Performance,Text,Text,Wikipedia,Crowdsourced annotations,Large (100K - 1M samples),"Train (87,599), Dev (10,570)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives passage and question, predicts answer span from passage, F1 and Exact Match scores computed against human answers",Outputs,False,,"Crowdsourced questions with multiple answer annotations, consistency validation",unknown,"BERT-base: 88.5 F1, BERT-large: 90.9 F1, RoBERTa: 94.6 F1, Human performance: 91.2 F1",Multiple human answers; F1 and EM metrics; Unanswerable questions in v2.0,Saturated with modern models; Adversarial examples exist; Answer extraction biases; Limited reasoning depth required,"SQuAD 2.0, DROP, NaturalQuestions, NewsQA, TriviaQA"
GLUE (General Language Understanding Evaluation),"A collection of 9 natural language understanding tasks including sentiment analysis, textual entailment, and question answering for evaluating general-purpose language models.","New York University, University of Washington, DeepMind",https://arxiv.org/abs/1804.07461,https://github.com/nyu-mll/GLUE-baselines,2018-04-19,Research; Development; Selection,"Natural language understanding, Textual entailment, Sentiment analysis, Semantic similarity, Question answering",Core Performance,Text,Text,One or Multiple existing datasets,Multiple/Mixed sources,Large (100K - 1M samples),Varies by task,Composite,Automatic (Reference-based),"Model evaluated on 9 diverse NLU tasks, performance aggregated into single GLUE score, tasks include CoLA, SST-2, MRPC, QQP, STS-B, MNLI, QNLI, RTE, WNLI",Outputs,True,"Test set labels private, evaluation via online leaderboard","Diverse task selection covering multiple NLU phenomena, human baseline validation",unknown,"BERT-base: 78.3, BERT-large: 80.5, RoBERTa-large: 88.5, Human baseline: 87.1",Multiple tasks; Diagnostic dataset; Human baseline comparison,Saturated by modern models; Some tasks correlate highly; Diagnostic set limited; Replaced by SuperGLUE,"SuperGLUE, XTREME, CLUE, IndoNLU"
SuperGLUE,A more challenging benchmark than GLUE with 8 language understanding tasks designed to be difficult for models that exceed human baseline on GLUE.,"New York University, Facebook AI, DeepMind, University of Washington",https://arxiv.org/abs/1905.00537,https://github.com/nyu-mll/jiant,2019-05-02,Research; Development; Selection,"Advanced NLU, Reasoning, Coreference resolution, Natural language inference, Question answering",Core Performance; Robustness,Text,Text,One or Multiple existing datasets,Multiple/Mixed sources,Large (100K - 1M samples),Varies by task,Composite,Automatic (Reference-based),"Model evaluated on 8 challenging NLU tasks including BoolQ, CB, COPA, MultiRC, ReCoRD, RTE, WiC, WSC, performance aggregated into SuperGLUE score",Outputs,True,"Test set labels private, evaluation via leaderboard","Tasks selected to challenge state-of-art models, human baseline exceeds initial model performance",unknown,"BERT-large: 69.0, RoBERTa-large: 84.6, T5-11B: 89.3, Human baseline: 89.8",Multiple challenging tasks; Human baseline comparison; Diagnostic dataset,Becoming saturated; Some tasks highly correlated; Limited multilingual coverage; Aggregate score masks per-task performance,"GLUE, BIG-bench, XTREME, MMLU"
CommonsenseQA,"A multiple-choice question answering dataset requiring commonsense reasoning, with 12,247 questions generated from ConceptNet.","Tel Aviv University, Allen Institute for AI, University of Washington",https://arxiv.org/abs/1811.00937,https://github.com/jonathanherzig/commonsenseqa,2019-01-01,Research; Development,"Commonsense reasoning, Conceptual understanding, World knowledge, Reasoning over concepts",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (9,741), Dev (1,221), Test (1,140)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives question and 5 answer choices, selects most appropriate answer requiring commonsense reasoning, accuracy computed",Outputs,True,"Test set labels withheld, evaluation via leaderboard","Questions derived from ConceptNet knowledge graph, human validation of question quality",unknown,"BERT-large: 56.7%, RoBERTa-large: 72.1%, GPT-3: 65.4%, Human performance: 88.9%",Multiple answer distractors; Human baseline comparison; ConceptNet grounding,Multiple choice format; ConceptNet bias; Some questions solvable without commonsense; Cultural biases,"PIQA, WinoGrande, HellaSwag, ARC, COPA"
PIQA (Physical Interaction QA),"A benchmark for physical commonsense reasoning about everyday situations, with 20,000 multiple choice questions about physical interactions.","Allen Institute for AI, University of Washington",https://arxiv.org/abs/1911.11641,https://github.com/ybisk/ybisk.github.io/tree/master/piqa,2019-11-01,Research; Development,"Physical commonsense, Intuitive physics, Everyday reasoning, Goal-oriented reasoning",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (16,113), Dev (1,838), Test (3,084)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives goal description and two possible solutions, selects physically more plausible solution, accuracy computed",Outputs,False,,"Crowdsourced goals and solutions with filtering, human validation of physical plausibility",unknown,"BERT-large: 76.5%, RoBERTa-large: 79.2%, GPT-3: 81.0%, Human performance: 94.9%",Adversarial filtering; Human baseline comparison; Binary choice validation,Binary choice may be limiting; Cultural bias in physical scenarios; Dataset saturation with large models,"HellaSwag, CommonsenseQA, WinoGrande, COPA"
NaturalQuestions,"A question answering dataset with real Google search queries and answers extracted from Wikipedia, containing 307K training examples with long and short answers.",Google Research,https://aclanthology.org/Q19-1026/,https://github.com/google-research-datasets/natural-questions,2019-01-01,Research; Development,"Open-domain question answering, Reading comprehension, Information retrieval, Answer extraction",Core Performance,Text,Text,Wikipedia,Crowdsourced annotations,Large (100K - 1M samples),"Train (307,373), Dev (7,830), Test (7,842)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives question from real user query and Wikipedia page, predicts short answer (entity) and/or long answer (paragraph), F1 score computed",Outputs,False,,"Real user queries from Google search, annotators find answers in Wikipedia with validation",unknown,"BERT-joint: 64.1 F1 (short), T5: 76.4 F1, Human performance: 87.1 F1",Long and short answers; Real user queries; Multiple annotator validation,Wikipedia-only answers; Some questions unanswerable; Annotation subjectivity; Requires large-scale retrieval,"SQuAD, TriviaQA, MS MARCO, ELI5"
LAMBADA,"A word prediction dataset requiring broad context understanding, with 10K passages where the last word requires understanding the entire passage to predict correctly.","University of Trento, University of Amsterdam",https://arxiv.org/abs/1606.06031,https://huggingface.co/datasets/cimec/lambada,2016-06-01,Research; Development,"Long-range context understanding, Word prediction, Discourse comprehension, Semantic coherence",Core Performance,Text,Text,New dataset (released with eval),Author-provided,Medium (1K - 100K samples),"Test (5,153)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives passage with last word removed, must predict final word requiring full passage context, accuracy computed",Outputs,False,,"Passages selected where humans can predict final word only with full context, validation through human testing",unknown,"GPT-2: 45.99%, GPT-3: 76.2%, GPT-4: ~90% (estimated), Human performance: 100%",Human baseline validation; Long-range dependency testing,Single word prediction limited; Dataset saturated with modern LLMs; Limited diversity in passages,"HellaSwag, StoryCloze, RACE"
MBPP (Mostly Basic Python Problems),"A benchmark of 974 short Python programming problems designed for entry-level programmers, testing basic programming knowledge and code synthesis.",Google Research,https://arxiv.org/abs/2108.07732,https://github.com/google-research/google-research/tree/master/mbpp,2021-08-17,Research; Development,"Code synthesis, Basic programming, Algorithm implementation, Python fundamentals",Core Performance,Text; Code,Code,New dataset (released with eval),Author-provided,Small (< 1K samples),"Train (374), Test (500), Validation (90)",Fixed data-driven (static test set),Automatic (Execution-based),"Model receives natural language description of programming task, generates Python function, solution tested against 3 test cases, pass@k metric computed",Outputs,False,,"Crowdsourced problems with manual review, test case validation",unknown,"Codex (12B): 59.6% pass@80, GPT-3.5: 52.2% pass@1, GPT-4: 75.8% pass@1, Code Llama 34B: 62.6% pass@1",Multiple test cases; Entry-level focus; Pass@k evaluation,Only 3 test cases per problem; Python-only; Entry-level problems may not test advanced capabilities; Small dataset size,"HumanEval, APPS, CodeContests, MultiPL-E"
AlpacaEval,An LLM-based automatic evaluation benchmark with 805 questions for assessing instruction-following models using GPT-4 as a judge against reference outputs.,Stanford University,https://arxiv.org/abs/2305.14387,https://github.com/tatsu-lab/alpaca_eval,2023-05-22,Development; Selection,"Instruction following, General capabilities, Open-ended generation, Helpfulness",Core Performance; Core Quality Dimensions,Text,Text,One or Multiple existing datasets,Model-generated references,Small (< 1K samples),Test (805 instructions),Fixed data-driven (static test set),Model-based: In the wild,"Model generates responses to diverse instructions, GPT-4 compares model output to reference (text-davinci-003), win rate computed",Outputs,False,,"Strong correlation with human preferences demonstrated, multiple judge models available",unknown,"Alpaca 7B: 26.5% win rate, Vicuna 13B: 76.8%, GPT-3.5-turbo: 89.4%, GPT-4: 95.3%, Claude 2: 91.4%",Multiple judge models; Correlation with human preferences; Position bias controls; Length bias analysis,"GPT-4 judge biases (length, style); Reference model may not be optimal; Small evaluation set; Model-based evaluation limitations","MT-Bench, Chatbot Arena, Arena-Hard, IFEval"
